index ,code        ,current     ,time
  250 ,000521.XSHE ,     8.65   ,2024-03-19 15:00:00
  251 ,000523.XSHE ,     3.24   ,2024-03-19 15:00:00
  252 ,000524.XSHE ,     8.82   ,2024-03-19 15:00:00
  253 ,000525.XSHE ,     7.71   ,2024-03-19 15:00:00
  254 ,000526.XSHE ,    59.83   ,2024-03-19 15:00:00
  255 ,000528.XSHE ,     8.25   ,2024-03-19 15:00:00
  256 ,000529.XSHE ,     5.81   ,2024-03-19 15:00:00
  257 ,000530.XSHE ,     4.34   ,2024-03-19 15:00:00
  258 ,000531.XSHE ,     5.95   ,2024-03-19 15:00:00
  259 ,000532.XSHE ,    12.08   ,2024-03-19 15:00:00
  260 ,000533.XSHE ,     3.95   ,2024-03-19 15:00:00
  261 ,000534.XSHE ,    11.92   ,2024-03-19 15:00:00
  262 ,000536.XSHE ,     3.06   ,2024-03-19 15:00:00
  263 ,000537.XSHE ,     9.78   ,2024-03-19 15:00:00
  264 ,000538.XSHE ,    51.27   ,2024-03-19 15:00:00
  265 ,000539.XSHE ,     5.09   ,2024-03-19 15:00:00
  266 ,000541.XSHE ,     5.69   ,2024-03-19 15:00:00
  267 ,000543.XSHE ,     7.51   ,2024-03-19 15:00:00
  268 ,000544.XSHE ,     7.31   ,2024-03-19 15:00:00
  269 ,000545.XSHE ,     2.34   ,2024-03-19 15:00:00
  270 ,000546.XSHE ,     6.1    ,2024-03-19 15:00:00
  271 ,000547.XSHE ,     7.83   ,2024-03-19 15:00:00
  272 ,000548.XSHE ,     4.64   ,2024-03-19 15:00:00
  273 ,000550.XSHE ,    27.91   ,2024-03-19 15:00:00
  274 ,000551.XSHE ,     8.87   ,2024-03-19 15:00:00
  275 ,000552.XSHE ,     3.03   ,2024-03-19 15:00:00
  276 ,000553.XSHE ,     6.13   ,2024-03-19 15:00:00
  277 ,000554.XSHE ,     5.36   ,2024-03-19 15:00:00
  278 ,000555.XSHE ,    10.91   ,2024-03-19 15:00:00
  279 ,000557.XSHE ,     4.75   ,2024-03-19 15:00:00
  280 ,000558.XSHE ,     2.65   ,2024-03-19 15:00:00
  281 ,000559.XSHE ,     5.04   ,2024-03-19 15:00:00
  282 ,000560.XSHE ,     2.2    ,2024-03-19 15:00:00
  283 ,000561.XSHE ,     7.92   ,2024-03-19 15:00:00
  284 ,000563.XSHE ,     3.0    ,2024-03-19 15:00:00
  285 ,000564.XSHE ,     1.92   ,2024-03-19 15:00:00
  286 ,000565.XSHE ,     4.75   ,2024-03-19 15:00:00
  287 ,000566.XSHE ,     3.86   ,2024-03-19 15:00:00
  288 ,000567.XSHE ,     9.49   ,2024-03-19 15:00:00
  289 ,000568.XSHE ,   190.87   ,2024-03-19 15:00:00
  290 ,000570.XSHE ,     5.28   ,2024-03-19 15:00:00
  291 ,000571.XSHE ,     3.41   ,2024-03-19 15:00:00
  292 ,000572.XSHE ,     4.21   ,2024-03-19 15:00:00
  293 ,000573.XSHE ,     2.84   ,2024-03-19 15:00:00
  294 ,000576.XSHE ,     8.05   ,2024-03-19 15:00:00
  295 ,000581.XSHE ,    17.26   ,2024-03-19 15:00:00
  296 ,000582.XSHE ,     7.82   ,2024-03-19 15:00:00
  297 ,000584.XSHE ,     2.9    ,2024-03-19 15:00:00
  298 ,000586.XSHE ,    12.27   ,2024-03-19 15:00:00
  299 ,000589.XSHE ,     5.61   ,2024-03-19 15:00:00
  300 ,000590.XSHE ,     7.37   ,2024-03-19 15:00:00
  301 ,000591.XSHE ,     5.49   ,2024-03-19 15:00:00
  302 ,000592.XSHE ,     2.19   ,2024-03-19 15:00:00
  303 ,000593.XSHE ,     5.64   ,2024-03-19 15:00:00
  304 ,000595.XSHE ,     5.06   ,2024-03-19 15:00:00
  305 ,000596.XSHE ,   256.55   ,2024-03-19 15:00:00
